,Total Population,Served Percentage
15067,31600.0,0.9810126582278481
15080,124000.0,1.0
15093,98854.0,0.8295061403686245
15111,24707.0,0.9100611162828348
15133,179160.0,0.6447812011609735
15154,14900.0,0.9436912751677853
15170,351230.0,0.6250291831563363
15186,531720.0,0.7385202738283307
15202,661009.0,0.8412563217747413
15218,387090.0,0.8527060890232245
15234,74560.0,0.8091738197424893
15250,224340.0,0.7378175982883124
15266,405920.0,0.5689323019314151
15282,481000.0,0.9667359667359667
15298,1191990.0,0.8477881525851727
15314,123130.0,0.7124664988223829
15330,343510.0,0.5634828680387761
15349,1444440.0,0.9463799119381906
15365,104010.0,0.732679550043265
15381,62860.0,0.3305281578110086
15397,623420.0,0.6712328767123288
15413,409000.0,0.6643031784841076
15429,701017.0,0.9193215000492142
15445,459560.0,0.8696709896422665
15461,341990.0,0.9480160238603468
15477,1216970.0,0.8080067709146487
15493,553080.0,0.852189556664497
15509,611160.0,0.8236059297074416
15525,96940.0,0.5125335258923045
15541,496990.0,0.9566550634821627
15557,276690.0,0.882171383136362
15573,853850.0,0.8035720559817298
15589,1066930.0,0.8608334192496228
15608,325190.0,0.849684799655586
15624,443210.0,0.7961823966065747
15640,115870.0,0.6109260378009839
15656,510020.0,0.8821693266930709
15672,92080.0,0.9366637706342311
15688,166989.0,0.5111174987574032
15704,587880.0,0.5030822616860584
15720,12179140.0,0.976780626546702
15736,305804.0,0.9751507501536932
15752,239040.0,0.688169344042838
15768,24540.0,0.5163814180929095
15789,1286129.0,0.9640728107367146
15805,221870.0,0.5466940100058593
15821,1642981.0,1.0
15837,1178080.0,0.7908800760559554
15853,575590.0,0.8462447228061641
15869,319650.0,0.8915376192710778
15891,524630.0,0.6672302384537674
15907,1041880.0,0.8456856835720045
15923,180960.0,0.903906940760389
15939,277110.0,0.8513694922593916
15955,226311.0,0.9539085594602118
15971,1119880.0,0.8159990356109583
15987,534760.0,0.8191038970753235
16003,48470.0,0.8310913967402517
16019,1170910.0,0.8951934819926382
16035,300280.0,0.9612694818169708
16051,843460.0,0.6453655182225595
16067,328910.0,0.889285822869478
16083,5225690.0,0.9173253675591166
16099,429800.0,0.7817822242903676
16115,243540.0,0.7351112753551778
16131,341683.0,0.799273010363407
16147,569290.0,0.8177361274570079
16163,487800.0,0.8267732677326773
16182,416440.0,0.8776534434732495
16198,720580.0,0.7874503871880985
16214,1110980.0,0.7199166501647194
16230,567300.0,0.44798871849109817
16246,629647.0,0.9076053725341342
16268,307480.0,0.8226030961363341
16284,354830.0,0.9222331820871967
16300,606650.0,0.8292969587076569
16316,1016140.0,0.5781683626271971
16332,312690.0,0.7813201573443347
16348,1032380.0,0.8212160251070343
16364,303840.0,0.5079285150078989
16380,606700.0,0.9556667216087028
16396,265040.0,0.8518336854814368
16412,193670.0,0.7760210667630506
16471,75300.0,0.40292164674634795
16520,291752.0,0.7919020263785681
16553,395300.0,0.7077814318239312
17038,267883.0,0.711116420228234
17162,365610.0,0.9823035474959656
17176,179122.0,0.8890309398063889
17191,340100.0,0.9279329608938548
17205,359000.0,0.9610027855153204
17240,51668.0,0.5888751258032051
17336,17406.0,1.0
17352,28212.0,0.8451722671203743
17360,9918.0,1.0
17373,568247.0,1.0
17388,47798.0,0.962383363320641
17405,50000.0,1.0
17416,12714.0,0.8556709139531226
17438,67240.0,0.40114515169541937
17445,38741.0,1.0
17457,38494.0,0.9515249129734504
17464,115000.0,0.7391304347826086
17474,583020.0,0.4209358169531062
17521,10900.0,1.0
17538,110000.0,0.6381818181818182
17548,218260.0,0.9529918445890223
17566,25694.0,0.7714252354635324
17577,36217.0,0.9699864704420575
17586,31467.0,1.0
17595,128155.0,0.8192735359525575
17602,34048.0,1.0
17611,36321.0,1.0
